"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Jun-2023","EQ","581.80","586.40","581.00","579.85","583.05","582.75","584.03","629.55","430.70","17,820,226","10,407,510,474.15","170,662"
"31-May-2023","EQ","583.80","584.80","577.50","592.80","581.00","579.85","581.09","629.55","430.70","28,797,643","16,733,958,686.45","209,733"
"30-May-2023","EQ","595.00","595.50","591.50","595.00","592.95","592.80","593.57","629.55","430.70","15,031,640","8,922,277,742.60","156,739"
"29-May-2023","EQ","590.00","596.40","588.05","586.00","594.60","595.00","593.50","629.55","430.70","18,432,231","10,939,616,927.30","323,484"
"26-May-2023","EQ","581.25","587.75","580.55","581.25","585.75","586.00","585.13","629.55","430.70","9,788,076","5,727,306,518.30","117,540"
"25-May-2023","EQ","582.00","582.90","577.00","582.70","580.70","581.25","580.06","629.55","430.70","16,479,436","9,559,118,791.75","151,117"
"24-May-2023","EQ","579.80","585.25","578.25","581.60","582.00","582.70","583.06","629.55","430.70","17,616,658","10,271,655,251.50","158,808"
"23-May-2023","EQ","578.90","583.70","576.80","577.15","580.30","581.60","580.66","629.55","430.70","16,120,548","9,360,557,915.40","154,666"
"22-May-2023","EQ","577.50","580.30","573.45","575.15","576.55","577.15","577.12","629.55","430.70","21,484,049","12,398,869,154.95","205,172"
"19-May-2023","EQ","579.00","586.25","569.90","574.20","575.65","575.15","576.07","629.55","430.70","42,293,962","24,364,273,546.75","351,340"
"18-May-2023","EQ","590.30","593.90","571.40","586.30","576.35","574.20","583.00","629.55","430.70","45,656,620","26,617,635,078.25","403,645"
"17-May-2023","EQ","586.00","590.50","579.50","586.30","587.20","586.30","584.82","629.55","430.70","23,739,774","13,883,395,488.50","251,054"
"16-May-2023","EQ","584.00","590.40","582.00","581.90","585.95","586.30","586.03","629.55","430.70","22,178,229","12,997,134,028.50","233,142"
"15-May-2023","EQ","578.75","584.00","574.65","578.15","582.05","581.90","581.35","629.55","430.70","11,410,243","6,633,367,008.50","176,477"
"12-May-2023","EQ","574.70","580.75","571.55","573.45","578.10","578.15","576.81","629.55","430.70","11,319,335","6,529,101,795.50","148,890"
"11-May-2023","EQ","572.20","580.00","572.00","572.20","573.70","573.45","574.59","629.55","430.70","16,016,715","9,203,123,584.55","183,896"
"10-May-2023","EQ","575.00","575.00","563.25","573.50","572.15","572.20","568.87","629.55","430.70","18,561,315","10,559,052,709.10","223,302"
"09-May-2023","EQ","585.00","586.45","572.10","583.60","573.70","573.50","576.83","629.55","430.70","18,959,065","10,936,167,606.40","247,801"
"08-May-2023","EQ","577.65","587.60","577.35","576.50","584.60","583.60","582.04","629.55","430.70","12,990,869","7,561,157,898.55","159,186"
"05-May-2023","EQ","580.20","588.25","575.05","580.00","576.45","576.50","582.81","629.55","430.70","18,163,461","10,585,937,155.00","182,941"
"04-May-2023","EQ","570.20","580.80","568.50","570.50","579.45","580.00","576.93","629.55","430.70","12,533,761","7,231,105,959.65","155,082"
"03-May-2023","EQ","570.65","575.00","569.00","575.30","569.90","570.50","572.27","629.55","430.70","9,699,527","5,550,786,227.05","151,234"
"02-May-2023","EQ","580.00","580.85","573.15","578.30","574.40","575.30","577.47","629.55","430.70","13,667,511","7,892,586,303.30","272,846"
"28-Apr-2023","EQ","567.80","580.45","565.50","564.75","576.10","578.30","572.14","629.55","430.70","16,183,423","9,259,124,491.90","172,070"
"27-Apr-2023","EQ","565.00","567.40","561.10","566.35","564.45","564.75","564.04","629.55","430.70","17,845,169","10,065,343,831.20","213,129"
"26-Apr-2023","EQ","562.00","567.00","556.45","561.80","567.00","566.35","562.67","629.55","430.70","23,143,882","13,022,469,078.50","195,651"
"25-Apr-2023","EQ","555.00","567.90","555.00","554.60","561.35","561.80","562.34","629.55","430.70","38,142,390","21,448,999,021.65","250,488"
"24-Apr-2023","EQ","543.80","555.55","543.50","543.15","553.80","554.60","550.47","629.55","430.70","23,335,611","12,845,592,513.85","210,456"
"21-Apr-2023","EQ","545.00","546.40","539.70","544.80","542.30","543.15","542.35","629.55","430.70","22,599,418","12,256,795,887.05","188,920"
"20-Apr-2023","EQ","541.20","545.45","536.65","540.30","544.35","544.80","541.56","629.55","430.70","25,588,577","13,857,634,831.90","146,793"
"19-Apr-2023","EQ","544.00","547.50","538.25","545.85","539.40","540.30","543.32","629.55","430.70","21,156,372","11,494,763,710.95","142,208"
"18-Apr-2023","EQ","545.35","548.50","540.50","544.00","545.25","545.85","545.32","629.55","430.70","22,283,456","12,151,654,395.50","218,269"
"17-Apr-2023","EQ","528.00","545.00","528.00","532.95","544.40","544.00","539.11","629.55","430.70","32,476,990","17,508,792,556.85","229,953"
"13-Apr-2023","EQ","529.30","534.25","527.15","528.20","533.40","532.95","530.40","629.55","430.70","28,597,560","15,168,246,670.05","168,188"
"12-Apr-2023","EQ","533.20","534.00","526.00","532.10","529.15","528.20","529.65","629.55","430.70","21,292,441","11,277,564,811.00","170,950"
"11-Apr-2023","EQ","530.85","535.70","527.15","526.30","532.50","532.10","533.07","629.55","430.70","26,414,406","14,080,836,565.45","176,416"
"10-Apr-2023","EQ","529.25","530.40","524.40","527.65","525.70","526.30","527.28","629.55","430.70","17,335,453","9,140,693,489.70","138,261"
"06-Apr-2023","EQ","524.00","533.70","521.65","523.00","527.70","527.65","528.66","629.55","430.70","25,125,879","13,282,981,142.75","232,693"
"05-Apr-2023","EQ","527.00","527.60","519.05","526.75","523.50","523.00","522.57","629.55","430.70","13,574,801","7,093,806,223.30","174,172"
"03-Apr-2023","EQ","524.75","528.50","522.10","523.75","525.60","526.75","525.94","629.55","430.70","14,210,949","7,474,113,454.40","137,769"
